time,queue length n,outflow,inflow,AtoB Lead st,AtoB Lead ut,AtoB last st,AtoB last ut,AtoBTT,AtoBEF,BtoA Lead st,BtoA Lead ut,BtoA last st,BtoA last ut,BtoATT,BtoAEF,AtoC Lead st,AtoC Lead ut,AtoC last st,AtoC last ut,AtoCTT,AtoCEF,BtoC Lead st,BtoC Lead ut,BtoC last st,BtoC last ut,BtoCTT,BtoCEF,CtoCright Lead st,CtoCright Lead ut,CtoCright last st,CtoCright last ut,CtoCrightTT,CtoCrightEF
2,0,-0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,-0.3333333333333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,-0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,-0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,-0.16666666666666666,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,-0.14285714285714285,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,-0.125,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,-0.1111111111111111,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,-0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,-0.09090909090909091,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0.0,0.5,0,0,0,0,0,0,0,100000,0,100000,21.383523689327163,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0.0,0.5,0,0,0,0,0,0,0,100000,0,100000,22.198840567079717,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0.0,0.5,0,0,0,0,0,0,0,100000,0,100000,21.75530926982642,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0.0,0.5,0,0,0,0,0,0,0,100000,0,100000,22.073526567660423,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0.0,0.5,0,0,0,0,0,0,0,100000,0,100000,21.756404023945727,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0.0,0.5,0,100000,0,100000,42.62857864889673,0.0,0,100000,0,100000,21.6114665104889,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0.0,0.5,0,100000,0,100000,35.44339472666012,0.0,0,100000,0,100000,21.73988578822313,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0.0,0.5,0,100000,0,100000,28.0403841454937,0.0,0,100000,0,100000,21.596730161855195,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0.0,0.5,0,100000,0,100000,24.67191616945537,0.0,0,100000,0,100000,21.912909021168435,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0.0,0.5,0,100000,0,100000,21.428552297980495,0.0,0,100000,0,100000,22.26008589214359,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0.0,0.5,0,100000,0,100000,21.929821590269455,0.0,0,100000,0,100000,21.023628529846267,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0.0,0.5,0,100000,0,100000,21.908606182708947,0.0,0,100000,0,100000,22.289889178639466,0.0,0,100000,0,100000,57.73272748894967,0.0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0.0,0.5,0,100000,0,100000,22.533141077600167,0.0,0,100000,0,100000,21.465571309261442,0.0,0,100000,0,100000,42.566346982119825,0.0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0.0,0.5,0,100000,0,100000,26.235459881735075,0.0,0,100000,0,100000,21.96238236518362,0.0,0,100000,0,100000,36.68176848982271,0.0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0.0,0.5,0,100000,0,100000,24.542456126695757,0.0,0,100000,0,100000,21.658036306264744,0.0,0,100000,0,100000,31.197783074439588,0.0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0.0,0.5,0,100000,0,100000,22.50637192218528,0.0,0,100000,0,100000,21.861819044579505,0.0,0,100000,0,100000,29.893737001856767,0.0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0.0,0.5,0,100000,0,100000,20.971181533667632,0.0,0,100000,0,100000,21.715795163120042,0.0,0,100000,0,100000,29.906340349827364,0.0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0.0,0.5,0,100000,0,100000,22.35639059010549,0.0,0,100000,0,100000,21.57199735149192,0.0,0,100000,0,100000,30.204509498361087,0.0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0.0,0.5,0,100000,0,100000,21.644613244095705,0.0,0,100000,0,100000,21.785450462703466,0.0,0,100000,0,100000,32.457342923615606,0.0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0.0,0.5,0,100000,0,100000,20.904868468296158,0.0,0,100000,0,100000,22.056760837669035,0.0,0,100000,0,100000,29.896221779833365,0.0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0.0,0.5,0,100000,0,100000,26.478572394480356,0.0,0,100000,0,100000,22.210616688658124,0.0,0,100000,0,100000,32.18099338668643,0.0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0.0,0.5,0,100000,0,100000,24.77183787782454,0.0,0,100000,0,100000,23.351258669661377,0.0,0,100000,0,100000,30.704390652425463,0.0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0.0,0.5,0,100000,0,100000,23.449848593943287,0.0,0,100000,0,100000,24.112642618795828,0.0,0,100000,0,100000,31.34174541920498,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0.0,0.5,0,100000,0,100000,22.252776700169964,0.0,0,100000,0,100000,25.957777707077682,0.0,0,100000,0,100000,39.87948609460453,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0.0,0.5,0,100000,0,100000,21.583026731434195,0.0,0,100000,0,100000,27.157445455805103,0.0,0,100000,0,100000,35.933802097387975,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0.02702702702702703,0.5,0,100000,0,100000,21.01415007649398,0.0,0,100000,0,100000,25.59260337596387,0.02702702702702703,0,100000,0,100000,33.98309780730852,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0.02631578947368421,0.5,0,100000,0,100000,21.76148420005893,0.0,0,100000,0,100000,26.392653838697846,0.02702702702702703,0,100000,0,100000,31.40874430942067,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0.02564102564102564,0.5,0,100000,0,100000,21.313353895887428,0.0,0,100000,0,100000,25.679355749864463,0.02702702702702703,0,100000,0,100000,37.7142538712781,0.0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0.025,0.5,0,100000,0,100000,26.626861293771057,0.025,0,100000,0,100000,27.60741646664523,0.02702702702702703,0,100000,0,100000,35.322033732634665,0.0,0,100000,0,100000,22.59018041332129,0.0,0,0,0,0,0,0
