time,queue length n,outflow,inflow,AtoB Lead st,AtoB Lead ut,AtoB last st,AtoB last ut,AtoBTT,AtoBEF,BtoA Lead st,BtoA Lead ut,BtoA last st,BtoA last ut,BtoATT,BtoAEF,AtoC Lead st,AtoC Lead ut,AtoC last st,AtoC last ut,AtoCTT,AtoCEF,BtoC Lead st,BtoC Lead ut,BtoC last st,BtoC last ut,BtoCTT,BtoCEF,CtoCright Lead st,CtoCright Lead ut,CtoCright last st,CtoCright last ut,CtoCrightTT,CtoCrightEF
2,0,-0.5,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,-0.3333333333333333,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,-0.25,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,-0.2,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,-0.16666666666666666,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,-0.14285714285714285,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,-0.125,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,-0.1111111111111111,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,-0.1,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0.0,0.55,0,0,0,0,0,0,0,100000,0,100000,20.9778025607754,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0.0,0.55,0,0,0,0,0,0,0,100000,0,100000,22.915769668824538,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0.0,0.55,0,0,0,0,0,0,0,100000,0,100000,21.414633997702417,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0.0,0.55,0,0,0,0,0,0,0,100000,0,100000,21.570973441794806,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0.0,0.55,0,0,0,0,0,0,0,100000,0,100000,21.37546405119487,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0.0,0.55,0,100000,0,100000,48.19012902493739,0.0,0,100000,0,100000,22.00327009333018,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0.0,0.55,0,100000,0,100000,36.15236734973309,0.0,0,100000,0,100000,22.643520913240504,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0.0,0.55,0,100000,0,100000,27.95409372999115,0.0,0,100000,0,100000,21.27240323288799,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0.0,0.55,0,100000,0,100000,22.610928606051306,0.0,0,100000,0,100000,22.105446657147976,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0.0,0.55,0,100000,0,100000,21.280803258878784,0.0,0,100000,0,100000,22.237677274735933,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0.0,0.55,0,100000,0,100000,20.89808929430541,0.0,0,100000,0,100000,21.373932173796945,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0.0,0.55,0,100000,0,100000,22.36857047414003,0.0,0,100000,0,100000,21.929625996812668,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0.0,0.55,0,100000,0,100000,22.862315205139517,0.0,0,100000,0,100000,21.940570765163727,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0.0,0.55,0,100000,0,100000,30.91628836069692,0.0,0,100000,0,100000,21.266575292710012,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0.0,0.55,0,100000,0,100000,27.090100164512332,0.0,0,100000,0,100000,22.068107789767407,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0.0,0.55,0,100000,0,100000,24.617092934665944,0.0,0,100000,0,100000,21.590697880591232,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0.0,0.55,0,100000,0,100000,24.271571253372937,0.0,0,100000,0,100000,21.634234328545414,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0.0,0.55,0,100000,0,100000,21.4176659805624,0.0,0,100000,0,100000,22.03761776549287,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0.0,0.55,0,100000,0,100000,21.27924849260102,0.0,0,100000,0,100000,22.16290640511839,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0.0,0.55,0,100000,0,100000,21.73495994080882,0.0,0,100000,0,100000,21.84358567261581,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
