time,queue length n,outflow,inflow,AtoB Lead st,AtoB Lead ut,AtoB last st,AtoB last ut,AtoBTT,AtoBEF,BtoA Lead st,BtoA Lead ut,BtoA last st,BtoA last ut,BtoATT,BtoAEF,AtoC Lead st,AtoC Lead ut,AtoC last st,AtoC last ut,AtoCTT,AtoCEF,BtoC Lead st,BtoC Lead ut,BtoC last st,BtoC last ut,BtoCTT,BtoCEF,CtoCright Lead st,CtoCright Lead ut,CtoCright last st,CtoCright last ut,CtoCrightTT,CtoCrightEF
2,0,-0.5,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,-0.3333333333333333,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,-0.25,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,-0.2,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,-0.16666666666666666,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,-0.14285714285714285,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,-0.125,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,-0.1111111111111111,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,-0.1,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0.0,0.55,0,0,0,0,0,0,0,100000,0,100000,21.232422164267035,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0.0,0.55,0,0,0,0,0,0,0,100000,0,100000,21.65384457961841,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0.0,0.55,0,0,0,0,0,0,0,100000,0,100000,20.904069004249497,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0.0,0.55,0,0,0,0,0,0,0,100000,0,100000,21.79948889298905,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0.0,0.55,0,0,0,0,0,0,0,100000,0,100000,22.479974031101992,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0.0,0.55,0,0,0,0,0,0,0,100000,0,100000,21.598968295416608,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0.0,0.55,0,0,0,0,0,0,0,100000,0,100000,21.88230001563079,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0.0,0.55,0,0,0,0,0,0,0,100000,0,100000,21.706627958800603,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0.0,0.55,0,100000,0,100000,36.87170260234519,0.0,0,100000,0,100000,21.33027437471851,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0.0,0.55,0,100000,0,100000,29.437257686074513,0.0,0,100000,0,100000,21.91022164336006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0.0,0.55,0,100000,0,100000,25.329224871090556,0.0,0,100000,0,100000,21.855933249224428,0.0,0,100000,0,100000,57.842815636191254,0.0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0.0,0.55,0,100000,0,100000,22.75333976502597,0.0,0,100000,0,100000,22.150469358338846,0.0,0,100000,0,100000,47.34262981645789,0.0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0.0,0.55,0,100000,0,100000,22.418670673219268,0.0,0,100000,0,100000,21.955632145285676,0.0,0,100000,0,100000,40.63507203557139,0.0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0.0,0.55,0,100000,0,100000,30.28808919833672,0.0,0,100000,0,100000,21.81364536099295,0.0,0,100000,0,100000,33.0847604293788,0.0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0.0,0.55,0,100000,0,100000,29.01937150992235,0.0,0,100000,0,100000,21.636946707336175,0.0,0,100000,0,100000,31.52333802474389,0.0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0.0,0.55,0,100000,0,100000,25.699913753594334,0.0,0,100000,0,100000,21.51858403597992,0.0,0,100000,0,100000,30.34236737018529,0.0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0.0,0.55,0,100000,0,100000,23.88830207657981,0.0,0,100000,0,100000,21.78404726917648,0.0,0,100000,0,100000,30.18941668457781,0.0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0.0,0.55,0,100000,0,100000,22.10851927322337,0.0,0,100000,0,100000,21.882363256845363,0.0,0,100000,0,100000,31.988476179176736,0.0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0.0,0.55,0,100000,0,100000,21.883398115109568,0.0,0,100000,0,100000,22.052444296149076,0.0,0,100000,0,100000,31.017302235548062,0.0,0,0,0,0,0,0,0,0,0,0,0,0
